fck (MPa),Cement (Kg/m3),Water (Kg/m3),FA(Kg/m3),RFA(Kg/m3),CA(kg/m3),RCA (Kg/m3),MA(Kg/m3),CHA(Kg/m3)
42.91,430.5,172.2,660,0,780,0,184.5,1.53
42.41,430.5,172.2,660,61.5,780,0,123,1.53
40.25,430.5,172.2,660,61.5,585,195,123,1.53
36.93,430.5,172.2,660,61.5,390,390,123,1.53
34.85,430.5,172.2,660,61.5,0,780,123,1.53
41.25,430.5,172.2,660,123,780,0,61.5,1.53
40.73,430.5,172.2,660,123,585,195,61.5,1.53
35.97,430.5,172.2,660,123,390,390,61.5,1.53
34.43,430.5,172.2,660,123,0,780,61.5,1.53
44.3,340,180,695,0,0,895,200,8.5
44.5,340,180,521,153,0,895,200,8.5
43.4,340,180,348,305,0,895,200,8.5
41.3,340,180,174,458,0,895,200,8.5
38.7,340,180,0,610,0,895,200,8.5
53.7,340,180,662,0,0,850,270,8.5
64.3,340,180,497,145,0,850,270,8.5
62.3,340,180,331,291,0,850,270,8.5
56.3,340,180,166,436,0,850,270,8.5
53.2,340,180,0,581,0,850,270,8.5
53.2,340,180,0,581,0,850,270,8.5
59.1,340,165,0,616,0,850,270,9
64.2,340,145,0,662,0,850,270,9.5
50.39,180,202.5,554.42,0,758.88,0,270,3
47.74,180,202.5,498.98,83.69,682.99,68.47,270,2.2
46.06,180,202.5,443.54,167.37,607.11,136.94,270,2.4
45.13,180,202.5,388.09,251.06,531.22,205.41,270,2.6
43.82,180,202.5,332.65,334.74,455.33,273.88,270,2.8
22.21,180,202.5,554.42,0,607.11,65.62,270,2.4
28.63,180,202.5,498.98,83.69,607.11,65.62,270,2.6
28.01,180,202.5,443.54,167.37,607.11,65.62,270,2.8
24.03,180,202.5,388.09,251.06,607.11,65.62,270,3
27.13,180,202.5,332.65,334.74,607.11,65.62,270,3.2
38.93,180,202.5,554.42,0,379.44,215.4,270,2
38.36,180,202.5,498.98,83.69,379.44,215.4,270,2.2
39.85,180,202.5,443.54,167.37,379.44,215.4,270,2.4
37.68,180,202.5,388.09,251.06,379.44,215.4,270,2.6
40.68,180,202.5,332.65,334.74,379.44,215.4,270,2.8
